name,affiliation,image,presentation,page_name,type,googleScholar,LinkedIn,website
Juan Sequeda,"Principal Data Strategist & Researcher at ServiceNow",JuanSequeda2.jpg,,,"keynote-conference",#,#,#
Alessandra Mileo,"Associate Professor at Dublin City University", Alessandra_Mileo.jpg,,,"keynote-conference",#,#,#
Daniel Garijo,"Associate Professor at Universidad Politécnica de Madrid", Daniel_Garijo.jpg,,,"keynote-conference",#,#,#
Deborah McGuinness,"Tetherless World Senior Constellation Chair and Professor at Rensselaer Polytechnic Institute", Deborah_McGuinness.png,,,"keynote-conference",#,#,#
Ricardo Usbeck,"Professor at Leuphana University Lüneburg",RicardoUsbeck.jpg,,,"keynote-conference",#,#,#
